label,message
ham,Hey! Are we still meeting for lunch today?
spam,"Congratulations! You've won a $1,000 Walmart gift card. Go to http://spamurl.com to claim now."
ham,Don't forget to submit your assignment by 5 PM.
spam,WINNER!! You have been selected for a free cruise. Call now!
ham,Let's go for a movie this weekend.
spam,You’ve won free tickets to Maldives! Text WIN to 89899.
ham,Are you coming to the office tomorrow?
spam,URGENT! Your account is suspended. Click here to verify: http://fakebank.com
ham,Thanks for your help earlier!
spam,You have a pending refund. Click here to receive your amount.
spam,Exclusive offer! Buy 1 get 1 free on all items. Visit http://greatdeals.com
ham,Can you review my code when you have time?
spam,Get your free iPhone now! Just click the link below!
ham,Meeting has been postponed to tomorrow at 10 AM.
spam,Earn money from home. No experience required. Sign up now!
ham,I'll call you back in 5 minutes.
spam,You've been selected for a cash prize. Act fast!
ham,Your order has been shipped and will arrive tomorrow.
spam,Lowest insurance rates available! Visit http://insureme.com
ham,Lunch is ready. Come downstairs.
spam,Free entry in a weekly contest! Text WIN to 80000.
ham,How was your trip to Delhi?
spam,Act now to get a free subscription for 6 months!
ham,Are you done with the report?
spam,Click here to claim your lottery winnings!
ham,Can we reschedule our meeting to Friday?
spam,Your credit score just increased! Check now.
spam,Claim your free Amazon gift card now.
spam,Limited time deal on luxury watches. Click here.
ham,Are you free this evening for a call?
ham,Are you free this evening for a call?
spam,Winner! You've been selected for a free iPad.
ham,Can we reschedule our meeting to Friday?
ham,Let me know if you need any help.
ham,"I'll be late to the party, save me a seat."
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
ham,Good luck on your exam today!
spam,Your credit score just increased! Check now.
ham,Are you free this evening for a call?
ham,Happy birthday! Have a wonderful year ahead.
spam,Unlock your fortune with this simple trick.
ham,Let me know if you need any help.
spam,Double your income working from home! Click here.
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
ham,Please review the attachment and get back to me.
ham,I'll send you the documents by 6 PM.
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
ham,Did you watch the match last night?
spam,Claim your free Amazon gift card now.
ham,Are you free this evening for a call?
ham,I'll send you the documents by 6 PM.
ham,Did you watch the match last night?
spam,Update your payment info to continue using our service.
spam,Claim your free Amazon gift card now.
ham,I'll send you the documents by 6 PM.
spam,Winner! You've been selected for a free iPad.
spam,Unlock your fortune with this simple trick.
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
ham,Good luck on your exam today!
ham,Are you free this evening for a call?
ham,Good luck on your exam today!
ham,Can we reschedule our meeting to Friday?
spam,Unlock your fortune with this simple trick.
ham,Let me know if you need any help.
ham,Please review the attachment and get back to me.
spam,Double your income working from home! Click here.
ham,Are you free this evening for a call?
ham,Can we reschedule our meeting to Friday?
ham,I'll send you the documents by 6 PM.
ham,Please review the attachment and get back to me.
ham,"I'll be late to the party, save me a seat."
ham,Let me know if you need any help.
spam,Claim your free Amazon gift card now.
ham,Can we reschedule our meeting to Friday?
spam,Unlock your fortune with this simple trick.
spam,Claim your free Amazon gift card now.
ham,"I'll be late to the party, save me a seat."
ham,Are you free this evening for a call?
spam,Hot singles in your area want to meet you!
ham,"Don't forget your umbrella, it might rain."
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
ham,I'll send you the documents by 6 PM.
spam,Hot singles in your area want to meet you!
ham,"I'll be late to the party, save me a seat."
ham,Can we reschedule our meeting to Friday?
spam,Unlock your fortune with this simple trick.
spam,"You've been pre-approved for a $10,000 loan! Apply now."
spam,Hurry! Offer expires tonight. Visit http://quickdeal.com
ham,Please review the attachment and get back to me.
spam,Your credit score just increased! Check now.
spam,Double your income working from home! Click here.
spam,Winner! You've been selected for a free iPad.
ham,Happy birthday! Have a wonderful year ahead.
spam,"You've been pre-approved for a $10,000 loan! Apply now."
ham,Please review the attachment and get back to me.
spam,Your credit score just increased! Check now.
ham,Please review the attachment and get back to me.
ham,I'll send you the documents by 6 PM.
ham,"Don't forget your umbrella, it might rain."
