label,message
spam,Earn money from home without any investment. Sign up now!
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
spam,Earn money from home without any investment. Sign up now!
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
ham,"Hi, are we still on for lunch tomorrow?"
spam,URGENT! Your account has been compromised. Click this link to secure it.
spam,Act now to receive a free subscription to Netflix for 1 year.
ham,Call me when you're free. Need to discuss something.
ham,Meeting is rescheduled to 3 PM today.
ham,Don't forget to bring the documents to the meeting.
ham,Can you send me the project files by evening?
ham,Can you send me the project files by evening?
ham,Can you send me the project files by evening?
ham,Call me when you're free. Need to discuss something.
ham,Let's catch up this weekend. It's been a while.
ham,Call me when you're free. Need to discuss something.
spam,URGENT! Your account has been compromised. Click this link to secure it.
ham,"Hi, are we still on for lunch tomorrow?"
spam,Act now to receive a free subscription to Netflix for 1 year.
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
ham,"I'll be late for class today, stuck in traffic."
spam,Limited offer! Claim your free Amazon voucher now.
spam,Act now to receive a free subscription to Netflix for 1 year.
ham,"I'll be late for class today, stuck in traffic."
ham,Meeting is rescheduled to 3 PM today.
ham,Don't forget to bring the documents to the meeting.
ham,Can you send me the project files by evening?
spam,Earn money from home without any investment. Sign up now!
spam,URGENT! Your account has been compromised. Click this link to secure it.
ham,Call me when you're free. Need to discuss something.
ham,Let's catch up this weekend. It's been a while.
ham,"I'll be late for class today, stuck in traffic."
ham,Happy birthday! Hope you have a great day.
spam,You won a brand new iPhone! Click here to enter your address.
ham,Let's catch up this weekend. It's been a while.
ham,Hey! Just checking in. How are you doing?
spam,Congratulations! You are the lucky winner of our weekly lottery draw.
ham,Hey! Just checking in. How are you doing?
ham,"I'll be late for class today, stuck in traffic."
spam,URGENT! Your account has been compromised. Click this link to secure it.
ham,Happy birthday! Hope you have a great day.
spam,Earn money from home without any investment. Sign up now!
spam,Congratulations! You are the lucky winner of our weekly lottery draw.
ham,Meeting is rescheduled to 3 PM today.
spam,Limited offer! Claim your free Amazon voucher now.
ham,"I'll be late for class today, stuck in traffic."
spam,Unlock exclusive adult content by clicking here.
spam,URGENT! Your account has been compromised. Click this link to secure it.
spam,You won a brand new iPhone! Click here to enter your address.
ham,Let's catch up this weekend. It's been a while.
ham,Let's catch up this weekend. It's been a while.
spam,Unlock exclusive adult content by clicking here.
spam,Limited offer! Claim your free Amazon voucher now.
spam,Earn money from home without any investment. Sign up now!
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim now.
ham,Hey! Just checking in. How are you doing?
ham,Hey! Just checking in. How are you doing?
spam,Get rich quick! Join our trading platform today and double your income.
ham,Please find the attached report for your review.
ham,Don't forget to bring the documents to the meeting.
spam,You won a brand new iPhone! Click here to enter your address.
ham,Can you send me the project files by evening?
spam,Act now to receive a free subscription to Netflix for 1 year.
ham,Can you send me the project files by evening?
spam,Earn money from home without any investment. Sign up now!
spam,You won a brand new iPhone! Click here to enter your address.
ham,"I'll be late for class today, stuck in traffic."
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim now.
spam,Act now to receive a free subscription to Netflix for 1 year.
spam,Get rich quick! Join our trading platform today and double your income.
ham,Call me when you're free. Need to discuss something.
ham,Hey! Just checking in. How are you doing?
ham,"I'll be late for class today, stuck in traffic."
spam,You won a brand new iPhone! Click here to enter your address.
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
spam,Unlock exclusive adult content by clicking here.
ham,Hey! Just checking in. How are you doing?
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
spam,URGENT! Your account has been compromised. Click this link to secure it.
spam,Congratulations! You've won a $1000 Walmart gift card. Click here to claim now.
spam,URGENT! Your account has been compromised. Click this link to secure it.
ham,Let's catch up this weekend. It's been a while.
spam,URGENT! Your account has been compromised. Click this link to secure it.
ham,Meeting is rescheduled to 3 PM today.
ham,Call me when you're free. Need to discuss something.
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
ham,"I'll be late for class today, stuck in traffic."
ham,Don't forget to bring the documents to the meeting.
ham,"Hi, are we still on for lunch tomorrow?"
ham,Let's catch up this weekend. It's been a while.
spam,You won a brand new iPhone! Click here to enter your address.
ham,Meeting is rescheduled to 3 PM today.
ham,Call me when you're free. Need to discuss something.
spam,Act now to receive a free subscription to Netflix for 1 year.
spam,Earn money from home without any investment. Sign up now!
ham,Meeting is rescheduled to 3 PM today.
ham,"I'll be late for class today, stuck in traffic."
ham,Can you send me the project files by evening?
ham,Let's catch up this weekend. It's been a while.
spam,Act now to receive a free subscription to Netflix for 1 year.
ham,Meeting is rescheduled to 3 PM today.
spam,Act now to receive a free subscription to Netflix for 1 year.
spam,Act now to receive a free subscription to Netflix for 1 year.
spam,Congratulations! You are the lucky winner of our weekly lottery draw.
spam,Congratulations! You are the lucky winner of our weekly lottery draw.
ham,Meeting is rescheduled to 3 PM today.
spam,You have been selected for a free cruise to the Bahamas. Reply YES to claim.
ham,Meeting is rescheduled to 3 PM today.
ham,"Hi, are we still on for lunch tomorrow?"
spam,Earn money from home without any investment. Sign up now!
ham,Please find the attached report for your review.
ham,Please find the attached report for your review.
ham,"Hi, are we still on for lunch tomorrow?"
spam,Limited offer! Claim your free Amazon voucher now.
spam,Act now to receive a free subscription to Netflix for 1 year.
ham,"Hi, are we still on for lunch tomorrow?"
ham,Hey! Just checking in. How are you doing?
ham,Please find the attached report for your review.
ham,Call me when you're free. Need to discuss something.
ham,Please find the attached report for your review.
spam,Earn money from home without any investment. Sign up now!
ham,Let's catch up this weekend. It's been a while.
ham,Meeting is rescheduled to 3 PM today.
spam,You won a brand new iPhone! Click here to enter your address.
spam,URGENT! Your account has been compromised. Click this link to secure it.
